ActualPosition,TargetPosition,ActualVelocity,TargetVelocity,TargetAcceleration,PositionError
-98.267212,1.00E-06,68.236022,0,0,-98.267213
-98.267212,1.00E-06,68.236022,0,0,-98.267213
-98.096924,1.00E-06,71.438252,0,0,-98.096925
-97.965088,1.00E-06,68.979985,0,0,-97.965089
-97.833252,1.00E-06,67.062378,0,0,-97.833253
-97.657471,1.00E-06,64.357341,0,0,-97.657472
-97.564087,1.00E-06,57.294509,0,0,-97.564088
-97.459717,1.00E-06,50.511528,0,0,-97.459718
-97.459717,1.00E-06,50.511528,0,0,-97.459718
-97.305908,1.00E-06,43.805483,0,0,-97.305909
-97.212524,1.00E-06,42.553172,0,0,-97.212525
-97.119141,1.00E-06,44.249591,0,0,-97.119142
-96.981812,1.00E-06,44.246898,0,0,-96.981813
-96.877441,1.00E-06,44.643883,0,0,-96.877442
-96.762085,1.00E-06,50.599619,0,0,-96.762086
-96.762085,1.00E-06,50.599619,0,0,-96.762086
-96.575317,1.00E-06,63.649346,0,0,-96.575318
-96.465454,1.00E-06,66.148774,0,0,-96.465455
-96.339111,1.00E-06,66.701745,0,0,-96.339112
-96.339111,1.00E-06,66.701745,0,0,-96.339112
-96.026001,1.00E-06,64.142115,0,0,-96.026002
-96.026001,1.00E-06,64.142115,0,0,-96.026002
-95.916138,1.00E-06,61.688271,0,0,-95.916139
-95.734863,1.00E-06,58.741081,0,0,-95.734864
-95.625,1.00E-06,55.565009,0,0,-95.625001
-95.509644,1.00E-06,54.724493,0,0,-95.509645
-95.355835,1.00E-06,52.264879,0,0,-95.355836
-95.355835,1.00E-06,52.264879,0,0,-95.355836
-95.223999,1.00E-06,55.146482,0,0,-95.224
-95.097656,1.00E-06,59.552938,0,0,-95.097657
-94.894409,1.00E-06,69.731833,0,0,-94.89441
-94.75708,1.00E-06,73.581664,0,0,-94.757081
-94.603271,1.00E-06,77.382833,0,0,-94.603272
-94.383545,1.00E-06,78.928843,0,0,-94.383546
-94.268188,1.00E-06,73.370477,0,0,-94.268189
-94.136353,1.00E-06,66.5146,0,0,-94.136354
-94.136353,1.00E-06,66.5146,0,0,-94.136354
-93.927612,1.00E-06,62.458391,0,0,-93.927613
-93.80127,1.00E-06,61.773861,0,0,-93.801271
-93.691406,1.00E-06,60.269204,0,0,-93.691407
-93.499146,1.00E-06,60.524243,0,0,-93.499147
-93.361816,1.00E-06,60.334021,0,0,-93.361817
-93.235474,1.00E-06,62.755168,0,0,-93.235475
-93.235474,1.00E-06,62.755168,0,0,-93.235475
-93.026733,1.00E-06,69.466022,0,0,-93.026734
-92.872925,1.00E-06,75.796047,0,0,-92.872926
-92.730103,1.00E-06,77.70346,0,0,-92.730104
-92.521362,1.00E-06,75.049585,0,0,-92.521363
-92.367554,1.00E-06,75.575051,0,0,-92.367555
-92.219238,1.00E-06,75.363864,0,0,-92.219239
-92.021484,1.00E-06,69.513337,0,0,-92.021485
-91.862183,1.00E-06,71.814273,0,0,-91.862184
-91.702881,1.00E-06,75.770466,0,0,-91.702882
-91.488647,1.00E-06,76.043778,0,0,-91.488648
-91.334839,1.00E-06,78.003314,0,0,-91.33484
-91.164551,1.00E-06,81.177271,0,0,-91.164552
-91.164551,1.00E-06,81.177271,0,0,-91.164552
-90.950317,1.00E-06,76.874292,0,0,-90.950318
-90.774536,1.00E-06,79.542208,0,0,-90.774537
-90.593262,1.00E-06,86.114771,0,0,-90.593263
-90.32959,1.00E-06,91.887017,0,0,-90.329591
-90.148315,1.00E-06,95.350442,0,0,-90.148316
-89.978027,1.00E-06,96.146335,0,0,-89.978028
-89.978027,1.00E-06,96.146335,0,0,-89.978028
-89.741821,1.00E-06,82.499592,0,0,-89.741822
-89.571533,1.00E-06,78.633605,0,0,-89.571534
-89.412231,1.00E-06,77.260314,0,0,-89.412232
-89.187012,1.00E-06,72.988686,0,0,-89.187013
-89.016724,1.00E-06,77.336672,0,0,-89.016725
-88.857422,1.00E-06,80.748935,0,0,-88.857423
-88.857422,1.00E-06,80.748935,0,0,-88.857423
-88.599243,1.00E-06,82.983514,0,0,-88.599244
-88.406982,1.00E-06,91.525807,0,0,-88.406983
-88.236694,1.00E-06,95.457189,0,0,-88.236695
-87.93457,1.00E-06,99.88788,0,0,-87.934571
-87.736816,1.00E-06,105.690708,0,0,-87.736817
-87.544556,1.00E-06,104.712094,0,0,-87.544557
-87.544556,1.00E-06,104.712094,0,0,-87.544557
-87.236938,1.00E-06,104.531104,0,0,-87.236939
-87.044678,1.00E-06,103.251481,0,0,-87.044679
-86.841431,1.00E-06,101.111917,0,0,-86.841432
-86.572266,1.00E-06,95.470461,0,0,-86.572267
-86.374512,1.00E-06,92.530964,0,0,-86.374513
-86.160278,1.00E-06,94.278544,0,0,-86.160279
-86.160278,1.00E-06,94.278544,0,0,-86.160279
-85.852661,1.00E-06,102.297294,0,0,-85.852662
-85.632935,1.00E-06,108.964487,0,0,-85.632936
-85.440674,1.00E-06,110.651289,0,0,-85.440675
-85.089111,1.00E-06,112.797008,0,0,-85.089112
-84.885864,1.00E-06,111.665678,0,0,-84.885865
-84.649658,1.00E-06,115.007929,0,0,-84.649659
-84.649658,1.00E-06,115.007929,0,0,-84.649659
-84.342041,1.00E-06,111.622786,0,0,-84.342042
-84.122314,1.00E-06,108.255338,0,0,-84.122315
-83.919067,1.00E-06,102.607727,0,0,-83.919068
-83.62793,1.00E-06,94.825552,0,0,-83.627931
-83.430176,1.00E-06,92.526732,0,0,-83.430177
-83.254395,1.00E-06,90.738184,0,0,-83.254396
-83.254395,1.00E-06,90.738184,0,0,-83.254396
-82.946777,1.00E-06,92.960646,0,0,-82.946778
-82.765503,1.00E-06,94.759003,0,0,-82.765504
-82.573242,1.00E-06,94.894217,0,0,-82.573243
-82.276611,1.00E-06,96.715078,0,0,-82.276612
-82.106323,1.00E-06,93.668064,0,0,-82.106324
-81.914062,1.00E-06,91.309043,0,0,-81.914063
-81.914062,1.00E-06,91.309043,0,0,-81.914063
-81.650391,1.00E-06,90.08539,0,0,-81.650392
-81.480103,1.00E-06,84.559144,0,0,-81.480104
-81.304321,1.00E-06,81.634457,0,0,-81.304322
-81.068115,1.00E-06,79.613373,0,0,-81.068116
-80.886841,1.00E-06,78.090443,0,0,-80.886842
-80.71106,1.00E-06,83.196816,0,0,-80.711061
-80.71106,1.00E-06,83.196816,0,0,-80.711061
-80.458374,1.00E-06,86.119387,0,0,-80.458375
-80.266113,1.00E-06,89.861702,0,0,-80.266114
-80.079346,1.00E-06,96.21173,0,0,-80.079347
-79.793701,1.00E-06,96.760469,0,0,-79.793702
-79.579468,1.00E-06,103.475555,0,0,-79.579469
-79.387207,1.00E-06,106.367352,0,0,-79.387208
-79.387207,1.00E-06,106.367352,0,0,-79.387208
-79.06311,1.00E-06,108.746761,0,0,-79.063111
-78.881836,1.00E-06,106.671437,0,0,-78.881837
-78.673096,1.00E-06,103.85696,0,0,-78.673097
-78.392944,1.00E-06,95.273699,0,0,-78.392945
-78.217163,1.00E-06,89.691675,0,0,-78.217164
-78.024902,1.00E-06,86.652355,0,0,-78.024903
-78.024902,1.00E-06,86.652355,0,0,-78.024903
-77.783203,1.00E-06,82.62115,0,0,-77.783204
-77.596436,1.00E-06,81.213815,0,0,-77.596437
-77.393188,1.00E-06,87.756181,0,0,-77.393189
-77.107544,1.00E-06,96.897029,0,0,-77.107545
-76.893311,1.00E-06,104.130464,0,0,-76.893312
-76.712036,1.00E-06,107.633895,0,0,-76.712037
-76.712036,1.00E-06,107.633895,0,0,-76.712037
-76.393433,1.00E-06,105.625505,0,0,-76.393434
-76.190186,1.00E-06,104.984251,0,0,-76.190187
-75.975952,1.00E-06,105.887854,0,0,-75.975953
-75.657349,1.00E-06,109.366281,0,0,-75.65735
-75.459595,1.00E-06,107.075924,0,0,-75.459596
-75.228882,1.00E-06,106.971484,0,0,-75.228883
-75.228882,1.00E-06,106.971484,0,0,-75.228883
-74.899292,1.00E-06,110.038693,0,0,-74.899293
-74.657593,1.00E-06,115.927111,0,0,-74.657594
-74.437866,1.00E-06,118.581563,0,0,-74.437867
-74.058838,1.00E-06,127.315617,0,0,-74.058839
-73.811646,1.00E-06,127.399284,0,0,-73.811647
-73.54248,1.00E-06,133.527932,0,0,-73.542481
-73.54248,1.00E-06,133.527932,0,0,-73.542481
-73.157959,1.00E-06,135.196269,0,0,-73.15796
-72.89978,1.00E-06,136.949619,0,0,-72.899781
-72.647095,1.00E-06,132.496617,0,0,-72.647096
-72.279053,1.00E-06,127.535459,0,0,-72.279054
-72.026367,1.00E-06,122.178855,0,0,-72.026368
-71.795654,1.00E-06,118.788519,0,0,-71.795655
-71.795654,1.00E-06,118.788519,0,0,-71.795655
-71.455078,1.00E-06,109.008148,0,0,-71.455079
-71.246338,1.00E-06,105.572035,0,0,-71.246339
-71.021118,1.00E-06,101.92916,0,0,-71.021119
-70.697021,1.00E-06,103.91043,0,0,-70.697022
-70.477295,1.00E-06,104.662278,0,0,-70.477296
-70.246582,1.00E-06,109.36378,0,0,-70.246583
-70.246582,1.00E-06,109.36378,0,0,-70.246583
-69.933472,1.00E-06,108.474411,0,0,-69.933473
-69.719238,1.00E-06,107.676594,0,0,-69.719239
-69.537964,1.00E-06,100.588758,0,0,-69.537965
-69.252319,1.00E-06,90.364472,0,0,-69.25232
-69.087524,1.00E-06,82.360147,0,0,-69.087525
-68.939209,1.00E-06,74.123671,0,0,-68.93921
-68.939209,1.00E-06,74.123671,0,0,-68.93921
-68.675537,1.00E-06,71.246492,0,0,-68.675538
-68.510742,1.00E-06,76.890064,0,0,-68.510743
-68.345947,1.00E-06,79.307556,0,0,-68.345948
-68.082275,1.00E-06,87.542301,0,0,-68.082276
-67.93396,1.00E-06,85.743175,0,0,-67.933961
-67.758179,1.00E-06,81.381149,0,0,-67.75818
-67.758179,1.00E-06,81.381149,0,0,-67.75818
-67.489014,1.00E-06,86.599847,0,0,-67.489015
-67.318726,1.00E-06,89.225641,0,0,-67.318727
-67.131958,1.00E-06,90.969182,0,0,-67.131959
-66.879272,1.00E-06,92.034733,0,0,-66.879273
-66.725464,1.00E-06,83.036214,0,0,-66.725465
-66.555176,1.00E-06,78.255469,0,0,-66.555177
-66.555176,1.00E-06,78.255469,0,0,-66.555177
-66.31897,1.00E-06,76.426915,0,0,-66.318971
-66.176147,1.00E-06,72.471106,0,0,-66.176148
-66.016846,1.00E-06,72.846741,0,0,-66.016847
-65.769653,1.00E-06,77.803091,0,0,-65.769654
-65.615845,1.00E-06,77.225116,0,0,-65.615846
-65.43457,1.00E-06,84.063298,0,0,-65.434571
-65.43457,1.00E-06,84.063298,0,0,-65.434571
-65.170898,1.00E-06,92.255729,0,0,-65.170899
-64.989624,1.00E-06,92.719262,0,0,-64.989625
-64.80835,1.00E-06,94.58513,0,0,-64.808351
-64.594116,1.00E-06,83.791524,0,0,-64.594117
-64.423828,1.00E-06,74.890521,0,0,-64.423829
-64.259033,1.00E-06,74.092705,0,0,-64.259034
-64.259033,1.00E-06,74.092705,0,0,-64.259034
-64.055786,1.00E-06,69.84185,0,0,-64.055787
-63.912964,1.00E-06,66.630772,0,0,-63.912965
-63.770142,1.00E-06,67.150084,0,0,-63.770143
-63.588867,1.00E-06,60.225735,0,0,-63.588868
-63.468018,1.00E-06,55.458454,0,0,-63.468019
-63.319702,1.00E-06,59.62141,0,0,-63.319703
-63.319702,1.00E-06,59.62141,0,0,-63.319703
-63.078003,1.00E-06,72.639594,0,0,-63.078004
-62.924194,1.00E-06,81.53021,0,0,-62.924195
-62.753906,1.00E-06,90.378513,0,0,-62.753907
-62.501221,1.00E-06,93.652292,0,0,-62.501222
-62.347412,1.00E-06,85.822226,0,0,-62.347413
-62.182617,1.00E-06,82.369187,0,0,-62.182618
-62.182617,1.00E-06,82.369187,0,0,-62.182618
-61.962891,1.00E-06,77.005851,0,0,-61.962892
-61.831055,1.00E-06,68.409511,0,0,-61.831056
-61.671753,1.00E-06,66.479402,0,0,-61.671754
-61.435547,1.00E-06,73.976917,0,0,-61.435548
-61.298218,1.00E-06,73.551274,0,0,-61.298219
-61.144409,1.00E-06,75.937223,0,0,-61.14441
-61.144409,1.00E-06,75.937223,0,0,-61.14441
-60.908203,1.00E-06,78.003314,0,0,-60.908204
-60.770874,1.00E-06,74.171948,0,0,-60.770875
-60.628052,1.00E-06,71.419596,0,0,-60.628053
-60.386353,1.00E-06,75.665835,0,0,-60.386354
-60.249023,1.00E-06,74.279657,0,0,-60.249024
-60.089722,1.00E-06,75.604864,0,0,-60.089723
-60.089722,1.00E-06,75.604864,0,0,-60.089723
-59.837036,1.00E-06,83.98367,0,0,-59.837037
-59.699707,1.00E-06,81.470201,0,0,-59.699708
-59.556885,1.00E-06,74.970534,0,0,-59.556886
-59.315186,1.00E-06,74.455069,0,0,-59.315187
-59.18335,1.00E-06,71.516919,0,0,-59.183351
-59.035034,1.00E-06,69.104042,0,0,-59.035035
-59.035034,1.00E-06,69.104042,0,0,-59.035035
-58.771362,1.00E-06,80.654112,0,0,-58.771363
-58.601074,1.00E-06,87.658281,0,0,-58.601075
-58.408813,1.00E-06,94.253732,0,0,-58.408814
-58.123169,1.00E-06,106.125583,0,0,-58.12317
-57.974854,1.00E-06,97.782167,0,0,-57.974855
-57.799072,1.00E-06,87.016835,0,0,-57.799073
-57.799072,1.00E-06,87.016835,0,0,-57.799073
-57.568359,1.00E-06,76.239963,0,0,-57.56836
-57.442017,1.00E-06,65.514252,0,0,-57.442018
-57.299194,1.00E-06,60.020319,0,0,-57.299195
-57.068481,1.00E-06,66.166854,0,0,-57.068482
-56.936646,1.00E-06,66.34919,0,0,-56.936647
-56.793823,1.00E-06,69.085001,0,0,-56.793824
-56.793823,1.00E-06,69.085001,0,0,-56.793824
-56.56311,1.00E-06,75.363287,0,0,-56.563111
-56.431274,1.00E-06,72.951758,0,0,-56.431275
-56.293945,1.00E-06,69.72837,0,0,-56.293946
-56.057739,1.00E-06,73.847859,0,0,-56.05774
-55.903931,1.00E-06,76.507697,0,0,-55.903932
-55.755615,1.00E-06,77.072015,0,0,-55.755616
-55.755615,1.00E-06,77.072015,0,0,-55.755616
-55.50293,1.00E-06,84.050411,0,0,-55.502931
-55.343628,1.00E-06,85.848191,0,0,-55.343629
-55.195312,1.00E-06,81.183041,0,0,-55.195313
-54.9646,1.00E-06,78.32221,0,0,-54.964601
-54.827271,1.00E-06,73.082547,0,0,-54.827272
-54.711914,1.00E-06,62.202774,0,0,-54.711915
-54.711914,1.00E-06,62.202774,0,0,-54.711915
-54.481201,1.00E-06,62.188349,0,0,-54.481202
-54.321899,1.00E-06,70.910478,0,0,-54.3219
-54.173584,1.00E-06,76.627138,0,0,-54.173585
-53.909912,1.00E-06,90.068849,0,0,-53.909913
-53.745117,1.00E-06,92.916793,0,0,-53.745118
-53.613281,1.00E-06,83.182968,0,0,-53.613282
-53.613281,1.00E-06,83.182968,0,0,-53.613282
-53.388062,1.00E-06,72.017189,0,0,-53.388063
-53.223267,1.00E-06,72.375899,0,0,-53.223268
-53.080444,1.00E-06,71.518457,0,0,-53.080445
-52.849731,1.00E-06,75.171719,0,0,-52.849732
-52.69043,1.00E-06,79.218311,0,0,-52.690431
-52.547607,1.00E-06,76.585786,0,0,-52.547608
-52.547607,1.00E-06,76.585786,0,0,-52.547608
-52.311401,1.00E-06,76.388447,0,0,-52.311402
-52.1521,1.00E-06,80.081331,0,0,-52.152101
-52.014771,1.00E-06,77.3159,0,0,-52.014772
-51.778564,1.00E-06,73.969224,0,0,-51.778565
-51.619263,1.00E-06,77.228771,0,0,-51.619264
-51.481934,1.00E-06,76.083592,0,0,-51.481935
-51.481934,1.00E-06,76.083592,0,0,-51.481935
-51.262207,1.00E-06,72.781154,0,0,-51.262208
-51.119385,1.00E-06,71.636553,0,0,-51.119386
-50.976562,1.00E-06,69.269645,0,0,-50.976563
-50.806274,1.00E-06,60.683499,0,0,-50.806275
-50.690918,1.00E-06,55.579819,0,0,-50.690919
-50.575562,1.00E-06,50.224561,0,0,-50.575563
-50.575562,1.00E-06,50.224561,0,0,-50.575563
-50.394287,1.00E-06,50.888895,0,0,-50.394288
-50.278931,1.00E-06,54.723339,0,0,-50.278932
-50.136108,1.00E-06,63.848992,0,0,-50.136109
-49.921875,1.00E-06,73.638595,0,0,-49.921876
-49.801025,1.00E-06,73.592242,0,0,-49.801026
-49.669189,1.00E-06,71.034343,0,0,-49.66919
-49.669189,1.00E-06,71.034343,0,0,-49.66919
-49.476929,1.00E-06,65.152657,0,0,-49.47693
-49.356079,1.00E-06,59.751238,0,0,-49.35608
-49.262695,1.00E-06,53.697987,0,0,-49.262696
-49.0979,1.00E-06,47.23294,0,0,-49.097901
-48.977051,1.00E-06,48.281565,0,0,-48.977052
-48.861694,1.00E-06,52.832467,0,0,-48.861695
-48.861694,1.00E-06,52.832467,0,0,-48.861695
-48.691406,1.00E-06,60.068595,0,0,-48.691407
-48.581543,1.00E-06,60.483852,0,0,-48.581544
-48.466187,1.00E-06,56.951571,0,0,-48.466188
-48.273926,1.00E-06,58.697805,0,0,-48.273927
-48.164062,1.00E-06,61.238393,0,0,-48.164063
-48.032227,1.00E-06,63.797638,0,0,-48.032228
-48.032227,1.00E-06,63.797638,0,0,-48.032228
-47.828979,1.00E-06,68.4374,0,0,-47.82898
-47.697144,1.00E-06,70.352122,0,0,-47.697145
-47.576294,1.00E-06,68.222751,0,0,-47.576295
-47.400513,1.00E-06,61.858105,0,0,-47.400514
-47.27417,1.00E-06,57.60975,0,0,-47.274171
-47.158813,1.00E-06,55.69099,0,0,-47.158814
-47.158813,1.00E-06,55.69099,0,0,-47.158814
-47.010498,1.00E-06,51.828272,0,0,-47.010499
-46.878662,1.00E-06,53.447371,0,0,-46.878663
-46.746826,1.00E-06,58.063283,0,0,-46.746827
-46.538086,1.00E-06,69.793573,0,0,-46.538087
-46.400757,1.00E-06,75.47869,0,0,-46.400758
-46.257935,1.00E-06,78.367794,0,0,-46.257936
-46.257935,1.00E-06,78.367794,0,0,-46.257936
-46.043701,1.00E-06,74.451607,0,0,-46.043702
-45.928345,1.00E-06,68.340846,0,0,-45.928346
-45.796509,1.00E-06,63.992669,0,0,-45.79651
-45.609741,1.00E-06,58.5699,0,0,-45.609742
-45.488892,1.00E-06,57.097748,0,0,-45.488893
-45.384521,1.00E-06,54.517538,0,0,-45.384522
-45.384521,1.00E-06,54.517538,0,0,-45.384522
-45.22522,1.00E-06,51.127009,0,0,-45.225221
-45.126343,1.00E-06,46.906159,0,0,-45.126344
-45.021973,1.00E-06,45.842724,0,0,-45.021974
-44.87915,1.00E-06,45.69924,0,0,-44.879151
-44.785767,1.00E-06,45.892154,0,0,-44.785768
-44.664917,1.00E-06,48.844345,0,0,-44.664918
-44.664917,1.00E-06,48.844345,0,0,-44.664918
-44.472656,1.00E-06,61.362836,0,0,-44.472657
-44.351807,1.00E-06,68.170435,0,0,-44.351808
-44.230957,1.00E-06,70.220755,0,0,-44.230958
-44.060669,1.00E-06,63.116378,0,0,-44.06067
-43.956299,1.00E-06,54.359051,0,0,-43.9563
-43.862915,1.00E-06,47.699744,0,0,-43.862916
-43.862915,1.00E-06,47.699744,0,0,-43.862916
-43.742065,1.00E-06,37.359286,0,0,-43.742066
-43.648682,1.00E-06,35.476108,0,0,-43.648683
-43.549805,1.00E-06,38.305972,0,0,-43.549806
-43.395996,1.00E-06,48.026141,0,0,-43.395997
-43.297119,1.00E-06,53.343316,0,0,-43.29712
-43.203735,1.00E-06,54.526962,0,0,-43.203736
-43.203735,1.00E-06,54.526962,0,0,-43.203736
-43.044434,1.00E-06,51.496874,0,0,-43.044435
-42.929077,1.00E-06,53.919175,0,0,-42.929078
-42.819214,1.00E-06,56.825974,0,0,-42.819215
-42.687378,1.00E-06,53.217143,0,0,-42.687379
-42.610474,1.00E-06,44.541367,0,0,-42.610475
-42.511597,1.00E-06,38.637754,0,0,-42.511598
-42.511597,1.00E-06,38.637754,0,0,-42.511598
-42.368774,1.00E-06,39.872947,0,0,-42.368775
-42.275391,1.00E-06,44.907578,0,0,-42.275392
-42.1875,1.00E-06,47.744174,0,0,-42.187501
-42.044678,1.00E-06,46.955205,0,0,-42.044679
-41.934814,1.00E-06,48.437167,0,0,-41.934815
-41.824951,1.00E-06,53.583161,0,0.015,-41.824952
-41.824951,1.00E-06,53.583161,0.015,0.105,-41.824952
-41.654663,0.015001,61.630185,0.12,0.12,-41.669664
-41.561279,0.135001,59.749507,0.24,0.345,-41.69628
-41.445923,0.375001,56.06374,0.585,-0.045,-41.820924
-41.275635,0.960001,54.444642,0.54,0.12,-42.235636
-41.160278,1.500001,56.697301,0.66,-0.66,-42.660279
-41.050415,2.160001,57.839017,0,1.215,-43.210416
